,BIIB,AMCR,AMP,BXP,ADI,BNY,BKR,AOS,ARE,ADSK,ARES,AEE,AIG,APTV,AAPL,AVY,AXP,MO,BSX,APP,ANET,BBY,APD,LNT,BLDR,AES,AFL,ADP,GOOG,ATO,BA,MMM,AJG,AVGO,BX,BRO,A,AIZ,ADBE,AMZN,AME,ACN,BLK,BALL,GOOGL,ALLE,APA,AZO,ALGN,AMD,ALL,CHRW,AMAT,T,ABT,BR,AON,ACGL,BMY,BKNG,BAC,AMGN,AWK,AKAM,APH,BG,ABBV,ABNB,AXON,APO,ALB,AMT,XYZ,TECH,BAX,AEP,BDX,ADM,CRL,COHR,FANG,COR,FIX,DG,CI,CPT,DLR,CINF,DDOG,CSGP,C,CSX,CPAY,CAH,CHTR,CRWD,CMS,CMCSA,CRH,CCI,CME,DHR,DASH,CASY,CTVA,KO,SCHW,CLX,CCL,COP,STZ,DHI,CL,DE,DAL,GLW,CARR,CDW,CVX,CMG,COIN,CB,CF,DOV,CTSH,CTAS,DVN,CDNS,COF,DVA,DRI,CBOE,DD,CVS,CFG,DTE,CIEN,CEG,CHD,DECK,CBRE,D,DXCM,CNC,DPZ,DLTR,COST,ED,CPRT,DELL,CNP,DOW,CVNA,COO,CMI,CAT,CSCO,DUK,GDDY,ECL,HIG,ECHO,ES,DOC,ETN,FDX,GL,EXPE,FE,HST,HPE,F,FICO,HUBB,FTNT,FISV,EVRG,EQT,GS,EOG,EQIX,BEN,IT,FCX,ELV,FLEX,EXC,GRMN,XOM,EW,GPN,HAL,FRT,EIX,FERG,ERIE,ETR,EMR,HWM,FDS,EL,GIS,GM,GE,FAST,HPQ,GEN,HON,FITB,EME,HAS,EBAY,HRL,HLT,EXPD,GEHC,GEV,ESS,HONA,GNRC,EFX,FOXA,FSLR,HCA,EXR,GPC,FIS,FDXF,GD,HSY,FOX,GILD,EG,FFIV,HD,HSIC,FTV,EXE,MRK,KLAC,IRM,IEX,MSFT,LOW,KMB,TAP,MPC,IBM,KR,LH,MTB,IVZ,MDT,META,HUM,JPM,MDLZ,MCK,ICE,LYB,ITW,IP,MAR,JCI,MTD,MRVL,MA,LIN,MRNA,LLY,KMI,MET,ISRG,MGM,JBHT,INVH,LHX,MAS,LYV,KKR,KEYS,MPWR,KEY,L,IQV,INTU,IR,LITE,LII,IDXX,LRCX,LEN,MCD,IFF,INTC,PODD,MLM,JNJ,KIM,MKC,KDP,LDOS,MU,JBL,KVUE,HBAN,KHC,JKHY,INCY,IBKR,J,HII,MRSH,MAA,LVS,LULU,LMT,MCHP,NVDA,NCLH,PYPL,NWSA,PPG,MSCI,PSA,PNW,PNR,RF,PLTR,PFE,PWR,NEE,MOS,PSKY,PPL,PRU,MSI,ODFL,PLD,OMC,NVR,DGX,RSG,HOOD,NSC,QCOM,ROK,OTIS,PM,PAYX,MCO,NFLX,ORLY,ON,OXY,ROL,REG,PFG,PHM,Q,PGR,PSX,ROST,PEG,NEM,RTX,RL,REGN,NDSN,NUE,NTAP,OKE,NTRS,PNC,PCAR,NI,MS,NRG,NWS,RVTY,RMD,PEP,PANW,MNST,O,NOC,PKG,RJF,PG,NDAQ,ORCL,ROP,PTC,PCG,NKE,PH,RDDT,NXPI,SBAC,TEL,TPL,TJX,TSLA,GWW,VMC,SYK,VRTX,TMUS,TDY,NOW,UDR,VLO,TROW,SRE,TDG,ULTA,SW,SYF,TSCO,SBUX,TSN,STE,TXN,UPS,TRMB,TGT,VTRS,VZ,SOLV,CRM,TTWO,TYL,UBER,SNDK,SHW,TKO,TTD,SO,TRGP,SWKS,VLTO,URI,SLB,WRB,TRV,TT,TPR,TFC,VRSK,UNH,UHS,TMO,USB,SMCI,STX,LUV,TXT,SNPS,SYY,RCL,UAL,TER,VTR,V,VEEV,VRSN,VMRK,STT,STLD,SPGI,VRT,VST,VICI,SPG,SJM,SWK,SNA,UNP,ZBRA,WAB,XYL,ZBH,WY,WEC,SPY,WDC,WSM,WMB,WFC,WAT,WM,WELL,WYNN,XEL,WTW,WST,WMT,ZTS,WBD,WDAY,DIS,YUM
2024-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,,,,,,,,-0.17655234916980525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1921473692979511,0.11452669240059328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11658335424539513,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,,,-0.25,,,,,-0.21604095223904374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04040841984497773,,,,,,,,,,,,,,,,,,,,,,,0.1926867075527172,0.14039104725368912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22423330677286862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.017848650427962028,,,,,,,,,,,,,,0.11728247008802077,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,,,-0.25,,,,,-0.19150159007063422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.19300825751368744,0.12502512697856139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22436245428949825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,,,0.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.16278730836304178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15203411656289872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1709547894374523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10366016787198856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11374719022654589,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11277929448553643,,,,,,,,,,,,,,,,,,,,,,,,,,
