Strategy_Origin,Pair_Legs,Total_Return_[%],Sharpe_Ratio,Sortino_Ratio,Max_DD_[%],Win_Rate_[%],Total_Trades
BASE,ES / FE,1.018371725515821,0.9361302958354512,1.828098275516511,0.008784894434232804,57.14285714285714,7
BASE,EXC / NI,0.19757693046016378,0.48732135699435536,0.5620869927532139,0.005563612567582865,100.0,2
BASE,CCI / WY,0.27959145294733645,0.4833414418405063,0.43520902049357674,0.010168832908108438,50.0,2
BASE,ATO / NI,0.19520147804714671,0.482033507538281,0.4049816365603589,0.007629244578144512,100.0,2
BASE,DELL / SMCI,0.308590203496939,0.45950624926857236,0.11033824252634208,0.0801621711155498,75.0,4
BASE,ANET / SMCI,1.7586110547990197,0.4167221471878559,0.12218646487189723,0.32328029606378816,100.0,3
BASE,AVGO / SMCI,0.5088950643642232,0.29196125031546155,0.057017909745577265,0.22707117995095505,100.0,2
BASE,AVGO / KLAC,0.235274711674327,0.0785461177453534,0.006896938681744696,1.26785591424029,25.0,8
BASE,AVGO / NVDA,-0.23531759910632166,-0.03732791138139732,-0.004938745852810994,1.5070218134321078,30.76923076923077,13
BASE,D / SRE,-0.06706188269135493,-0.0535572531042684,-0.0061500318794453345,0.464090563427777,45.45454545454545,11
BASE,CRL / MTD,-0.11019386757907812,-0.19415130719413679,-0.01010721814169847,0.2553702898138166,33.33333333333333,3
BASE,MSCI / TROW,-0.42395384624360766,-0.3363163495286096,-0.015509865971447169,0.6184555868347763,60.0,5
BASE,BAX / PFE,-1.5887763484148554,-0.3658787280433605,-0.05502277504324389,2.6838107173545844,27.77777777777778,18
BASE,D / ETR,-0.31007872124981795,-0.5906979305213802,-0.032299177116986745,0.31007872124981795,0.0,2
BASE,IVZ / PYPL,-0.3733641560738632,-0.7175461617661126,-0.039222291204882624,0.3733641560738632,25.0,4
OVERRIDE,XYZ / TROW,9.649474505020805,1.0867736356903932,0.40794357367710743,1.0103356404832398,55.55555555555556,27
OVERRIDE,CBRE / KIM,3.8458802115962865,0.9129313045838446,0.3559056210641167,0.46452578358463503,60.0,15
OVERRIDE,INCY / RVTY,0.8900519497778037,0.8320298994979622,2.1277923602189723,0.00660175657579698,60.0,5
OVERRIDE,ANET / NVDA,3.255407220159734,0.8278213142112346,7.941043883474526,0.007973138575612104,75.0,8
OVERRIDE,ETR / PEG,0.31099236440423894,0.6804074747604643,0.5446766053690872,0.009030300250711942,50.0,2
OVERRIDE,DTE / FE,0.5851732359527517,0.6775326152909021,1.0021926561690448,0.009229095181551017,75.0,4
OVERRIDE,INVH / KIM,0.8866726315452267,0.6738410169271483,0.07859674178335152,0.2519006632183518,50.0,8
OVERRIDE,ADI / MPWR,0.4506393348221005,0.6476717786537668,2.360809103808682,0.003018394824727544,100.0,3
OVERRIDE,HRL / KDP,0.49618702811973225,0.5884213930193499,1.3743943649619403,0.005710029911010217,100.0,2
OVERRIDE,PFE / RVTY,0.24477726200617944,0.48929886092466285,0.6565463544108098,0.005901076740377764,50.0,2
OVERRIDE,AWK / SO,0.48576710962691116,0.4439379146656318,0.13169841008278024,0.08250837686717416,50.0,2
OVERRIDE,BAC / NTRS,0.020604422843728543,0.3488863774247899,0.04121223612179866,0.007913729149178206,50.0,2
OVERRIDE,AMP / MET,0.16616173679571133,0.3035028093012702,0.04338680277947391,0.08534722408466422,50.0,2
OVERRIDE,BMY / HSIC,0.8469045827680599,0.2895398816960661,0.01952717880702701,0.9791744295822302,75.0,4
OVERRIDE,FITB / TFC,0.11794679938226249,0.17350401008684446,0.02088652157393244,0.23623955211263814,50.0,8
OVERRIDE,COF / WFC,0.13932468914061857,0.06839365358136235,0.008921594124463052,0.8710859337257126,62.5,8
OVERRIDE,BAC / CFG,0.01758467355454929,0.016558853189558367,0.001583121349506507,0.29484645167036083,33.33333333333333,3
OVERRIDE,CEG / VST,-0.2783894406406806,-0.23749391060404557,-0.018268403626201947,0.55181335987744,33.33333333333333,6
OVERRIDE,LUV / UAL,-0.40658060792243544,-0.30183859581090905,-0.018482942833704715,0.8200831936240216,28.57142857142857,7
OVERRIDE,COP / MPC,-0.6191452616684412,-0.3615472653550928,-0.02293802446990957,0.6191452616684412,50.0,6
OVERRIDE,CBRE / FRT,-0.5973030031312776,-0.47792496288999375,-0.02655358787459261,0.6176780953574657,0.0,4
OVERRIDE,AMT / KIM,-2.1449210483044268,-0.5167648947369828,-0.04039031573542592,2.5229320359639207,40.0,10
OVERRIDE,MET / KEY,-0.44780658648403415,-0.5225584920769233,-0.04198664498795005,0.6515706525065945,16.666666666666664,6
OVERRIDE,CCI / VICI,-0.024714224106825444,-0.5746294103668783,-0.02565572896041693,0.024714224106825444,50.0,2
OVERRIDE,INVH / UDR,-0.15989212916548423,-0.6432708769389593,-0.035169324451985805,0.15989212916548423,50.0,4
OVERRIDE,CBRE / PLD,-0.6822055816297135,-0.7008301505219945,-0.04489160436174916,0.6822055816297135,0.0,5
OVERRIDE,BXP / KIM,-0.022204930829083924,-0.7042404029433408,-0.03143219477347783,0.022204930829083924,50.0,2
OVERRIDE,HBAN / SYF,-0.8697441946844187,-0.7081138617375851,-0.03870773737225511,0.8697441946844187,0.0,4
