,group
Start,2024-09-09 00:00:00
End,2026-09-04 00:00:00
Period,500
Start Value,250000.0
End Value,290228.1643691772
Total Return [%],16.091265747670878
Benchmark Return [%],57.59645233726054
Max Gross Exposure [%],150.8657185344176
Total Fees Paid,3203.2779393378037
Max Drawdown [%],3.4511156058003047
Max Drawdown Duration,78.0
Total Trades,202
Total Closed Trades,199
Total Open Trades,3
Open Trade PnL,-40.20733597022884
Win Rate [%],46.231155778894475
Best Trade [%],14.187685472832277
Worst Trade [%],-8.596564784717451
Avg Winning Trade [%],2.6466786855810547
Avg Losing Trade [%],-2.0243361389395016
Avg Winning Trade Duration,3.25
Avg Losing Trade Duration,3.3271028037383177
Profit Factor,1.3913011593003102
Expectancy,202.3536266590321
