,group
Start,2024-09-09 00:00:00
End,2026-09-04 00:00:00
Period,500
Start Value,250000.0
End Value,253160.6657053283
Total Return [%],1.2642662821313206
Benchmark Return [%],57.59645233726054
Max Gross Exposure [%],180.42575111432075
Total Fees Paid,8854.21002446569
Max Drawdown [%],10.42808924833938
Max Drawdown Duration,477.0
Total Trades,814
Total Closed Trades,814
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],50.122850122850124
Best Trade [%],22.33752286562572
Worst Trade [%],-12.602084272099237
Avg Winning Trade [%],1.8031252131182907
Avg Losing Trade [%],-1.884739421643504
Avg Winning Trade Duration,2.031862745098039
Avg Losing Trade Duration,2.0123152709359604
Profit Factor,1.0122630447289573
Expectancy,3.8828817018775226
